game_status,dealer_total,dealer_cards,player_name,player_total,player_cards,player_wager,player_balance,running_count,deck_remaining_percent,true_count,remaining_cards
blackjack,23,6 7 queen ,computer,21,ace jack ,100,100,-1,0.6730769230769231,-1.4857142857142855,",7,jack,5,10,5,king,2,6,5,king,4,6,3,jack,ace,3,king,queen,ace,4,4,8,3,king,8,6,queen,2,9,jack,4,ace,9"
dealer bust,23,6 7 queen ,player1,17,7 10 ,100,0,-1,0.6730769230769231,-1.4857142857142855,",7,jack,5,10,5,king,2,6,5,king,4,6,3,jack,ace,3,king,queen,ace,4,4,8,3,king,8,6,queen,2,9,jack,4,ace,9"
dealer wins,21,5 king 6 ,computer,17,7 10 ,100,0,-2,0.5384615384615384,-3.7142857142857144,",5,king,4,6,3,jack,ace,3,king,queen,ace,4,4,8,3,king,8,6,queen,2,9,jack,4,ace,9"
dealer wins,21,5 king 6 ,player1,17,jack 5 2 ,100,-100,-2,0.5384615384615384,-3.7142857142857144,",5,king,4,6,3,jack,ace,3,king,queen,ace,4,4,8,3,king,8,6,queen,2,9,jack,4,ace,9"
dealer wins,17,7 4 6 ,computer,16,2 4 jack ,100,-100,4,0.8846153846153846,4.521739130434783,",4,10,4,7,3,6,6,queen,10,5,7,8,5,3,king,9,jack,king,6,jack,jack,queen,ace,king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
Tie,17,7 4 6 ,player1,17,2 7 8 ,100,-100,4,0.8846153846153846,4.521739130434783,",4,10,4,7,3,6,6,queen,10,5,7,8,5,3,king,9,jack,king,6,jack,jack,queen,ace,king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
dealer wins,20,4 6 queen ,computer,17,4 7 6 ,100,-200,7,0.7115384615384616,9.837837837837837,",10,5,7,8,5,3,king,9,jack,king,6,jack,jack,queen,ace,king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
dealer wins,20,4 6 queen ,player1,13,10 3 ,10.0,-110.0,7,0.7115384615384616,9.837837837837837,",10,5,7,8,5,3,king,9,jack,king,6,jack,jack,queen,ace,king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
dealer wins,19,7 3 9 ,computer,18,10 8 ,100,-300,9,0.5576923076923077,16.137931034482758,",jack,king,6,jack,jack,queen,ace,king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
player wins,19,7 3 9 ,player1,20,5 5 king ,10.0,-100.0,9,0.5576923076923077,16.137931034482758,",jack,king,6,jack,jack,queen,ace,king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
player wins,17,6 queen ace ,computer,20,jack jack ,100,-200,5,0.40384615384615385,12.380952380952381,",king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
player wins,17,6 queen ace ,player1,20,king jack ,10.0,-90.0,5,0.40384615384615385,12.380952380952381,",king,king,5,9,2,8,queen,2,3,9,9,3,5,ace,ace,10,8,10,queen"
dealer bust,23,8 5 10 ,computer,17,ace 4 2 ,100,-100,1,0.8846153846153846,1.1304347826086958,",4,jack,8,5,10,8,jack,7,9,7,4,2,6,6,8,3,7,6,3,2,ace,9,7,10,5,9,5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
dealer bust,23,8 5 10 ,player1,13,10 3 ,100,10.0,1,0.8846153846153846,1.1304347826086958,",4,jack,8,5,10,8,jack,7,9,7,4,2,6,6,8,3,7,6,3,2,ace,9,7,10,5,9,5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
dealer bust,23,8 8 7 ,computer,19,4 5 jack ,100,0,1,0.7307692307692308,1.3684210526315788,",9,7,4,2,6,6,8,3,7,6,3,2,ace,9,7,10,5,9,5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
dealer bust,23,8 8 7 ,player1,20,jack 10 ,100,110.0,1,0.7307692307692308,1.3684210526315788,",9,7,4,2,6,6,8,3,7,6,3,2,ace,9,7,10,5,9,5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
dealer wins,20,4 6 3 7 ,computer,19,9 2 8 ,100,-100,5,0.5769230769230769,8.666666666666668,",6,3,2,ace,9,7,10,5,9,5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
dealer wins,20,4 6 3 7 ,player1,13,7 6 ,100,10.0,5,0.5769230769230769,8.666666666666668,",6,3,2,ace,9,7,10,5,9,5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
dealer bust,23,2 7 5 9 ,computer,17,6 ace ,100,0,7,0.40384615384615385,17.333333333333332,",5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
player bust,23,2 7 5 9 ,player1,22,3 9 10 ,10.0,0.0,7,0.40384615384615385,17.333333333333332,",5,jack,king,jack,king,king,3,king,6,queen,queen,queen,ace,9,ace,2,4"
